Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-11-01 00:00:00
Sudoeste,Itapetinga,290480,Caatiba,0.658,0.3394,0.687,0.88,1.0,1.0
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,1.0,1.0,1.0,0.8699,0.9226,1.0
Leste,Cruz das Almas,290490,Cachoeira,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,290500,Caculé,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,290510,Caém,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290515,Caetanos,0.6504,0.8353,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,290520,Caetité,1.0,0.9337,0.9023,0.7947,0.9143,0.9004
Centro Norte,Irecê,290530,Cafarnaum,0.7179,0.3691,1.0,1.0,1.0,1.0
Sul,Valença,290540,Cairu,0.9881,0.9729,0.9591,0.9466,1.0,0.7345
Centro Norte,Jacobina,290550,Caldeirão Grande,0.7636,0.7587,0.7586,0.7548,0.7805,0.7766
Sul,Itabuna,290560,Camacan,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,290570,Camaçari,0.5101,0.5688,0.4976,0.5047,0.5786,0.6724
Sul,Valença,290580,Camamu,0.5699,0.5681,0.6609,0.659,0.8681,0.6838
Norte,Juazeiro,290590,Campo Alegre de Lourdes,0.6928,0.6914,0.9052,1.0,1.0,1.0
Norte,Senhor do Bonfim,290600,Campo Formoso,0.5779,0.5313,0.6216,0.7475,0.899,0.8321
Oeste,Santa Maria da Vitória,290610,Canápolis,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,290620,Canarana,0.2634,0.2615,0.9044,0.899,1.0,0.9226
Sul,Ilhéus,290630,Canavieiras,0.3097,0.2074,0.403,0.5091,0.9776,0.984
Centro Leste,Feira de Santana,290640,Candeal,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,290650,Candeias,0.4841,0.4662,0.4285,0.4264,0.4534,0.4065
Sudoeste,Guanambi,290660,Candiba,0.9144,0.7057,0.9062,0.6997,1.0,1.0
Sudoeste,Vitória da Conquista,290670,Cândido Sales,0.512,0.6256,0.6446,0.388,0.4086,1.0
Centro Leste,Serrinha,290680,Cansanção,0.3928,0.4768,0.5609,0.5595,0.483,0.4952
Norte,Juazeiro,290682,Canudos,0.6063,0.6025,0.601,0.797,0.7969,0.8279
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,0.8537,0.6808,0.8482,1.0,1.0,1.0
Centro Norte,Jacobina,290687,Capim Grosso,1.0,1.0,0.9958,0.9891,0.9064,1.0
Sudoeste,Vitória da Conquista,290689,Caraíbas,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,290690,Caravelas,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290700,Cardeal da Silva,0.7127,0.354,0.7034,0.723,0.7468,0.3712
Sudoeste,Guanambi,290710,Carinhanha,0.4621,0.4607,0.5592,0.6574,0.5645,0.5634
Norte,Juazeiro,290720,Casa Nova,0.3377,0.4178,0.6099,0.6766,0.7588,0.6982
Leste,Santo Antônio de Jesus,290730,Castro Alves,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290740,Catolândia,0.9468,0.9395,0.9337,0.9403,0.9705,0.0
Nordeste,Alagoinhas,290750,Catu,0.9345,0.9288,0.9235,0.6722,0.8875,0.946
Sudoeste,Brumado,290755,Caturama,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,290760,Central,0.1657,0.0,0.2091,0.2087,0.2,0.1998
Norte,Paulo Afonso,290770,Chorrochó,0.9013,0.8983,0.8955,0.8929,1.0,1.0
Nordeste,Ribeira do Pombal,290780,Cícero Dantas,0.1867,0.1871,0.0998,0.2985,0.3103,0.4244
Nordeste,Ribeira do Pombal,290790,Cipó,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,290800,Coaraci,0.7358,0.6753,0.712,0.7255,0.9623,1.0
Oeste,Santa Maria da Vitória,290810,Cocos,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,290820,Conceição da Feira,0.6148,0.6091,0.7356,0.5994,0.6163,0.6111
Leste,Santo Antônio de Jesus,290830,Conceição do Almeida,0.9283,0.9312,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290840,Conceição do Coité,0.459,0.4556,0.4575,0.4546,0.4691,0.5337
