Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Norte,Jacobina,292170,Morro do Chapéu,45.0,28.0,32,53,47.0,47,52.0,58.0,33.0,67.0,58.0
Centro Norte,Jacobina,292335,Ourolândia,10.0,15.0,16,14,12.0,5,20.0,28.0,27.0,17.0,17.0
Centro Norte,Jacobina,292480,Piritiba,16.0,19.0,11,25,16.0,19,34.0,27.0,35.0,24.0,30.0
Centro Norte,Jacobina,292593,Quixabeira,5.0,8.0,4,6,14.0,3,7.0,9.0,12.0,8.0,3.0
Centro Norte,Jacobina,292937,São José do Jacuípe,3.0,8.0,6,13,11.0,6,12.0,10.0,16.0,10.0,6.0
Centro Norte,Jacobina,292980,Saúde,18.0,17.0,19,14,19.0,21,15.0,14.0,13.0,12.0,11.0
Centro Norte,Jacobina,293060,Serrolândia,9.0,12.0,9,17,15.0,17,18.0,22.0,18.0,17.0,12.0
Centro Norte,Jacobina,293130,Tapiramutá,20.0,22.0,16,12,14.0,16,23.0,27.0,17.0,20.0,26.0
Centro Norte,Jacobina,293245,Umburanas,10.0,2.0,6,7,9.0,8,10.0,15.0,13.0,12.0,16.0
Centro Norte,Jacobina,293305,Várzea da Roça,17.0,13.0,14,20,10.0,9,12.0,11.0,16.0,21.0,7.0
Centro Norte,Jacobina,293310,Várzea do Poço,10.0,5.0,6,11,3.0,9,15.0,11.0,13.0,7.0,5.0
Centro Norte,Jacobina,293315,Várzea Nova,9.0,6.0,9,16,9.0,21,22.0,17.0,12.0,16.0,22.0
Extremo Sul,Porto Seguro,290340,Belmonte,32.0,23.0,30,32,29.0,37,33.0,40.0,23.0,24.0,30.0
Extremo Sul,Porto Seguro,291072,Eunápolis,139.0,140.0,147,141,159.0,156,161.0,185.0,161.0,175.0,154.0
Extremo Sul,Porto Seguro,291180,Guaratinga,24.0,15.0,17,13,22.0,20,15.0,21.0,27.0,15.0,23.0
Extremo Sul,Porto Seguro,291465,Itabela,33.0,31.0,39,39,46.0,45,35.0,45.0,41.0,39.0,44.0
Extremo Sul,Porto Seguro,291530,Itagimirim,11.0,6.0,7,8,5.0,13,12.0,6.0,9.0,12.0,5.0
Extremo Sul,Porto Seguro,291630,Itapebi,6.0,11.0,7,12,11.0,15,20.0,15.0,17.0,18.0,14.0
Extremo Sul,Porto Seguro,292530,Porto Seguro,113.0,112.0,119,123,169.0,169,184.0,178.0,181.0,169.0,148.0
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,24.0,27.0,40,33,27.0,28,24.0,30.0,29.0,32.0,35.0
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,14.0,16.0,17,24,27.0,17,35.0,31.0,33.0,29.0,23.0
Extremo Sul,Teixeira de Freitas,290690,Caravelas,31.0,28.0,20,20,12.0,17,22.0,31.0,22.0,25.0,18.0
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,10.0,17.0,13,8,6.0,17,12.0,10.0,8.0,8.0,17.0
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,73.0,81.0,81,85,82.0,85,91.0,122.0,93.0,69.0,96.0
Extremo Sul,Teixeira de Freitas,291600,Itanhém,41.0,23.0,28,34,17.0,31,28.0,23.0,30.0,32.0,28.0
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,4.0,3.0,5,12,8.0,4,4.0,9.0,10.0,4.0,11.0
Extremo Sul,Teixeira de Freitas,291890,Lajedão,5.0,5.0,2,4,4.0,3,7.0,5.0,6.0,15.0,7.0
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,35.0,35.0,37,29,29.0,38,44.0,51.0,45.0,42.0,44.0
Extremo Sul,Teixeira de Freitas,292200,Mucuri,29.0,47.0,35,44,32.0,43,41.0,43.0,29.0,33.0,35.0
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,31.0,39.0,29,43,40.0,40,51.0,55.0,50.0,39.0,36.0
Extremo Sul,Teixeira de Freitas,292550,Prado,31.0,22.0,24,18,27.0,27,32.0,40.0,40.0,24.0,43.0
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,157.0,162.0,193,175,183.0,159,165.0,212.0,220.0,201.0,210.0
Extremo Sul,Teixeira de Freitas,293325,Vereda,6.0,5.0,2,2,6.0,7,7.0,5.0,9.0,10.0,9.0
Leste,Camaçari,290570,Camaçari,260.0,307.0,292,285,349.0,356,325.0,373.0,333.0,331.0,326.0
Leste,Camaçari,290860,Conde,26.0,22.0,15,22,13.0,29,17.0,19.0,22.0,23.0,33.0
Leste,Camaçari,291005,Dias d'Ávila,68.0,85.0,95,86,109.0,106,106.0,105.0,89.0,83.0,90.0
Leste,Camaçari,292100,Mata de São João,58.0,51.0,52,44,52.0,55,67.0,71.0,66.0,56.0,72.0
Leste,Camaçari,292520,Pojuca,41.0,45.0,38,32,40.0,36,48.0,41.0,45.0,48.0,36.0
Leste,Camaçari,293070,Simões Filho,188.0,149.0,167,179,178.0,199,166.0,209.0,168.0,172.0,183.0
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,24.0,24.0,15,25,30.0,28,16.0,22.0,31.0,22.0,22.0
Leste,Cruz das Almas,290490,Cachoeira,51.0,47.0,47,51,49.0,66,52.0,47.0,44.0,42.0,51.0
Leste,Cruz das Almas,290820,Conceição da Feira,14.0,25.0,22,25,36.0,19,39.0,12.0,32.0,29.0,25.0
Leste,Cruz das Almas,290980,Cruz das Almas,69.0,69.0,72,105,85.0,90,88.0,103.0,76.0,76.0,85.0
Leste,Cruz das Almas,291160,Governador Mangabeira,21.0,19.0,31,22,35.0,33,32.0,32.0,32.0,27.0,36.0
Leste,Cruz das Almas,292060,Maragogipe,51.0,47.0,52,66,68.0,64,57.0,52.0,79.0,67.0,45.0
Leste,Cruz das Almas,292230,Muritiba,34.0,44.0,39,47,43.0,43,55.0,46.0,33.0,48.0,36.0
Leste,Cruz das Almas,292900,São Félix,19.0,15.0,13,16,23.0,11,12.0,24.0,26.0,15.0,16.0
Leste,Cruz das Almas,292960,Sapeaçu,25.0,20.0,36,14,30.0,22,42.0,35.0,29.0,31.0,26.0
Leste,Salvador,290650,Candeias,127.0,128.0,113,127,115.0,134,124.0,118.0,118.0,139.0,128.0
