Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Leste,Santo Antônio de Jesus,291685,Itatim,50,57.1,70.0,0.0,0.0,0,100,50.0,50.0,41.900000000000006
Sul,Jequié,291690,Itiruçu,-,100,0.0,0.0,0.0,100,100,100.0,0.0,50.0
Norte,Senhor do Bonfim,291700,Itiúba,100,100,0.0,0.0,0.0,50,77.8,77.8,66.7,52.47777777777778
Sudoeste,Itapetinga,291710,Itororó,-,0,100.0,33.3,100.0,100,100,0.0,0.0,54.1625
Sudoeste,Brumado,291720,Ituaçu,-,100,0.0,100.0,100.0,100,100,25.0,100.0,78.125
Sul,Valença,291730,Ituberá,66.7,66.7,42.9,0.0,0.0,66.7,20,14.3,66.7,38.22222222222222
Sudoeste,Guanambi,291733,Iuiú,-,100,0.0,100.0,0.0,0,0,0.0,0.0,25.0
Oeste,Santa Maria da Vitória,291735,Jaborandi,33.3,75,0.0,0.0,0.0,0,0,0.0,0.0,12.033333333333333
Sudoeste,Guanambi,291740,Jacaraci,-,0,100.0,100.0,50.0,75,100,100.0,100.0,78.125
Centro Norte,Jacobina,291750,Jacobina,73.7,80,57.1,75.0,40.0,55.6,75,63.2,40.0,62.17777777777778
Sul,Jequié,291760,Jaguaquara,54.5,60,90.0,75.0,100.0,100,100,60.0,0.0,71.05555555555556
Norte,Senhor do Bonfim,291770,Jaguarari,-,66.7,0.0,100.0,100.0,50,50,50.0,50.0,58.3375
Leste,Santo Antônio de Jesus,291780,Jaguaripe,100,100,100.0,0.0,100.0,100,100,100.0,50.0,83.33333333333333
Nordeste,Alagoinhas,291790,Jandaíra,-,0,0.0,0.0,0.0,100,0,0.0,0.0,12.5
Sul,Jequié,291800,Jequié,85.7,65,92.3,73.3,69.2,71.9,65.4,49.2,65.0,70.77777777777777
Norte,Paulo Afonso,291810,Jeremoabo,40,100,66.7,0.0,0.0,66.7,50,100.0,0.0,47.044444444444444
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,-,0,0.0,100.0,100.0,66.7,0,0.0,0.0,33.3375
Sul,Jequié,291830,Jitaúna,-,100,66.7,0.0,100.0,100,100,0.0,100.0,70.8375
Centro Norte,Irecê,291835,João Dourado,-,0,25.0,83.3,75.0,100,80,100.0,100.0,70.4125
Norte,Juazeiro,291840,Juazeiro,93.3,93.3,94.3,100.0,93.3,97.1,94.3,71.8,64.0,89.04444444444442
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,-,0,66.7,75.0,0.0,0,0,0.0,0.0,17.7125
Centro Norte,Irecê,291850,Jussara,75,0,33.3,71.4,100.0,0,100,100.0,0.0,53.3
Sul,Itabuna,291855,Jussari,-,0,100.0,0.0,0.0,50,100,100.0,0.0,43.75
Sudoeste,Brumado,291860,Jussiape,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Sul,Jequié,291870,Lafaiete Coutinho,100,0,0.0,75.0,50.0,50,0,100.0,0.0,41.666666666666664
Sudoeste,Guanambi,291875,Lagoa Real,100,33.3,22.2,0.0,0.0,0,100,0.0,0.0,28.38888888888889
Leste,Santo Antônio de Jesus,291880,Laje,100,33.3,37.5,66.7,50.0,66.7,100,100.0,0.0,61.57777777777778
Extremo Sul,Teixeira de Freitas,291890,Lajedão,-,25,0.0,0.0,0.0,0,0,0.0,0.0,3.125
Centro Leste,Itaberaba,291900,Lajedinho,100,0,100.0,0.0,0.0,0,100,0.0,0.0,33.333333333333336
Sul,Jequié,291905,Lajedo do Tabocal,100,100,100.0,0.0,0.0,0,50,100.0,0.0,50.0
Centro Leste,Serrinha,291910,Lamarão,-,33.3,100.0,0.0,100.0,100,0,50.0,0.0,47.9125
Centro Norte,Irecê,291915,Lapão,55.6,62.5,16.7,90.0,0.0,0,100,50.0,50.0,47.199999999999996
